cohort_month,cohort_index,retention_rate
2024-01,1,100.0
2024-01,2,8.53
2024-01,3,9.0
2024-01,4,8.06
2024-01,5,7.23
2024-01,6,8.89
2024-01,7,9.12
2024-01,8,7.23
2024-01,9,6.75
2024-01,10,6.87
2024-01,11,10.19
2024-01,12,8.29
2024-01,13,8.89
2024-01,14,8.18
2024-01,15,8.18
2024-01,16,7.82
2024-01,17,9.12
2024-01,18,8.53
2024-01,19,9.36
2024-01,20,8.77
2024-01,21,8.89
2024-01,22,8.18
2024-01,23,4.74
2024-02,1,100.0
2024-02,2,10.27
2024-02,3,9.99
2024-02,4,9.0
2024-02,5,7.45
2024-02,6,10.27
2024-02,7,9.28
2024-02,8,9.56
2024-02,9,9.85
2024-02,10,7.88
2024-02,11,9.85
2024-02,12,8.58
2024-02,13,8.72
2024-02,14,8.16
2024-02,15,8.16
2024-02,16,8.72
2024-02,17,7.03
2024-02,18,9.14
2024-02,19,9.28
2024-02,20,8.72
2024-02,21,7.74
2024-02,22,5.63
2024-02,23,
2024-03,1,100.0
2024-03,2,9.34
2024-03,3,7.13
2024-03,4,8.95
2024-03,5,8.69
2024-03,6,6.49
2024-03,7,8.69
2024-03,8,9.99
2024-03,9,9.08
2024-03,10,9.6
2024-03,11,7.78
2024-03,12,7.26
2024-03,13,7.52
2024-03,14,7.91
2024-03,15,9.08
2024-03,16,9.34
2024-03,17,9.73
2024-03,18,7.78
2024-03,19,8.04
2024-03,20,7.91
2024-03,21,4.02
2024-03,22,
2024-03,23,
2024-04,1,100.0
2024-04,2,8.7
2024-04,3,8.85
2024-04,4,7.37
2024-04,5,8.55
2024-04,6,9.44
2024-04,7,10.47
2024-04,8,6.78
2024-04,9,7.08
2024-04,10,10.18
2024-04,11,5.75
2024-04,12,6.93
2024-04,13,9.73
2024-04,14,11.5
2024-04,15,7.37
2024-04,16,8.26
2024-04,17,8.41
2024-04,18,9.0
2024-04,19,7.96
2024-04,20,4.13
2024-04,21,
2024-04,22,
2024-04,23,
2024-05,1,100.0
2024-05,2,9.56
2024-05,3,7.94
2024-05,4,9.24
2024-05,5,9.56
2024-05,6,6.48
2024-05,7,9.4
2024-05,8,6.65
2024-05,9,8.59
2024-05,10,7.94
2024-05,11,7.94
2024-05,12,7.94
2024-05,13,9.89
2024-05,14,9.08
2024-05,15,8.75
2024-05,16,8.75
2024-05,17,7.13
2024-05,18,8.91
2024-05,19,3.57
2024-05,20,
2024-05,21,
2024-05,22,
2024-05,23,
2024-06,1,100.0
2024-06,2,9.91
2024-06,3,7.34
2024-06,4,8.81
2024-06,5,8.44
2024-06,6,9.54
2024-06,7,6.61
2024-06,8,8.81
2024-06,9,6.24
2024-06,10,8.81
2024-06,11,7.71
2024-06,12,8.07
2024-06,13,6.42
2024-06,14,8.62
2024-06,15,9.72
2024-06,16,10.28
2024-06,17,9.72
2024-06,18,3.67
2024-06,19,
2024-06,20,
2024-06,21,
2024-06,22,
2024-06,23,
2024-07,1,100.0
2024-07,2,8.69
2024-07,3,7.95
2024-07,4,8.32
2024-07,5,7.76
2024-07,6,6.84
2024-07,7,8.13
2024-07,8,10.72
2024-07,9,8.32
2024-07,10,6.47
2024-07,11,7.39
2024-07,12,7.76
2024-07,13,8.5
2024-07,14,8.87
2024-07,15,6.84
2024-07,16,9.06
2024-07,17,3.7
2024-07,18,
2024-07,19,
2024-07,20,
2024-07,21,
2024-07,22,
2024-07,23,
2024-08,1,100.0
2024-08,2,6.71
2024-08,3,9.74
2024-08,4,10.61
2024-08,5,8.23
2024-08,6,9.52
2024-08,7,8.44
2024-08,8,9.52
2024-08,9,11.04
2024-08,10,8.44
2024-08,11,9.09
2024-08,12,8.66
2024-08,13,9.96
2024-08,14,6.28
2024-08,15,9.74
2024-08,16,4.11
2024-08,17,
2024-08,18,
2024-08,19,
2024-08,20,
2024-08,21,
2024-08,22,
2024-08,23,
2024-09,1,100.0
