product_id,avg_rating,total_reviews
P000001,4.2,5
P000002,3.22,9
P000003,3.3,10
P000004,3.0,7
P000005,4.14,7
P000006,4.0,9
P000007,3.08,13
P000008,3.78,9
P000009,3.0,10
P000010,3.71,7
P000011,3.57,7
P000012,3.71,7
P000013,3.4,5
P000014,4.33,6
P000015,3.5,6
P000016,3.17,6
P000017,4.2,5
P000018,4.0,11
P000019,3.86,7
P000021,3.67,9
P000022,4.0,6
P000023,3.14,7
P000024,3.2,5
P000025,3.4,5
P000026,3.29,7
P000027,3.57,7
P000028,3.82,11
P000029,3.14,7
P000030,3.0,7
P000031,3.38,8
P000032,3.67,9
P000033,3.0,5
P000034,3.0,7
P000035,3.73,11
P000036,3.43,7
P000037,3.8,10
P000038,3.5,6
P000039,3.71,7
P000040,3.4,5
P000041,3.27,11
P000042,3.67,6
P000043,4.33,3
P000044,3.5,6
P000045,3.67,9
P000046,3.6,10
P000047,3.86,7
P000048,3.7,10
P000049,3.5,8
P000050,3.56,9
P000051,3.86,7
P000052,3.5,4
P000053,3.67,9
P000054,2.8,5
P000055,3.0,8
P000056,3.75,8
P000057,3.86,7
P000058,4.0,4
P000059,3.25,8
P000060,4.67,3
P000061,3.45,11
P000062,3.25,4
P000063,3.73,11
P000064,3.11,9
P000065,3.67,9
P000066,3.25,4
P000067,3.8,5
P000068,3.0,6
P000069,2.86,7
P000070,3.62,8
P000071,3.79,14
P000072,4.17,6
P000073,4.25,4
P000074,3.75,12
P000075,3.2,10
P000076,3.83,6
P000077,3.14,7
P000078,3.09,11
P000079,3.8,5
P000080,3.64,11
P000081,3.6,5
P000082,4.14,7
P000083,3.25,8
P000084,3.08,13
P000085,3.43,7
P000086,3.11,9
P000087,3.2,5
P000088,4.0,10
P000089,3.33,6
P000090,3.56,9
P000091,3.67,6
P000092,3.88,8
P000093,3.5,4
P000094,3.0,9
P000095,3.85,13
P000096,3.57,7
P000097,3.67,6
P000098,3.83,6
P000099,4.0,5
P000100,3.67,6
P000101,3.25,12
P000102,3.6,10
P000103,3.43,7
P000104,3.42,12
P000105,3.6,10
P000106,4.2,5
P000107,3.23,13
P000108,3.43,7
P000109,3.14,7
P000110,2.67,6
P000111,3.8,10
P000112,3.55,11
P000113,3.0,9
P000114,3.17,6
P000115,3.25,4
P000116,3.2,5
P000117,3.33,6
P000118,3.44,9
P000119,3.0,3
P000120,4.0,7
P000121,3.5,8
P000122,3.33,9
P000123,4.0,6
P000124,3.5,8
P000125,4.0,2
P000126,3.6,5
P000127,2.8,5
P000128,3.6,5
P000129,4.0,6
P000130,4.08,12
P000131,3.0,8
P000132,3.6,5
P000133,3.64,14
P000134,3.44,9
P000135,3.8,5
P000136,4.0,7
P000137,3.67,6
P000138,3.17,6
P000139,4.0,7
P000140,3.55,11
P000141,3.56,9
P000142,3.67,3
P000143,3.69,13
P000144,3.42,12
P000145,3.5,10
P000146,3.67,6
P000147,3.7,10
P000148,3.6,5
P000149,3.5,6
P000150,3.8,5
P000151,3.56,9
P000152,3.75,16
P000153,3.57,7
P000154,3.8,5
P000155,4.0,4
P000156,3.5,4
P000157,4.25,4
P000158,3.2,5
P000159,3.4,5
P000160,3.6,5
P000161,3.5,4
P000162,3.0,8
P000163,3.3,10
P000164,3.09,11
P000165,3.0,6
P000166,4.0,4
P000167,4.0,4
P000168,3.0,2
P000169,3.0,5
P000170,4.0,2
P000171,3.83,6
P000172,3.33,9
P000173,3.71,7
P000174,3.0,7
P000175,4.29,7
P000176,3.8,5
P000177,4.0,3
P000178,3.44,16
P000179,3.25,8
P000180,3.6,10
P000181,2.5,4
P000182,3.0,3
P000183,3.5,8
P000184,3.67,6
P000185,3.17,12
P000186,3.86,7
P000187,3.17,6
P000188,3.25,12
P000189,4.36,11
P000190,3.0,6
P000191,3.67,9
P000192,3.75,8
P000193,3.43,7
P000194,4.33,3
P000195,3.5,4
P000196,3.33,6
P000197,3.86,7
P000198,3.5,10
P000199,4.17,6
P000200,3.33,6
P000201,4.0,6
P000202,3.12,8
P000203,3.75,4
P000204,3.9,10
P000205,2.6,5
P000206,3.8,5
P000207,3.12,8
P000208,3.33,9
P000209,3.8,5
P000210,3.07,14
P000211,3.25,8
P000212,3.45,11
P000213,3.75,4
P000214,2.33,3
P000215,3.5,10
P000216,3.5,6
P000217,3.0,8
P000218,3.75,8
P000219,4.0,5
P000220,3.62,8
P000221,3.67,6
P000222,3.44,9
P000223,2.83,6
P000224,4.0,8
P000225,3.25,4
P000226,3.43,7
P000227,4.0,10
P000228,4.12,8
P000229,3.2,5
P000230,3.67,6
P000231,2.75,8
P000232,4.4,5
P000233,3.56,16
P000234,4.17,6
P000235,3.43,7
P000236,3.73,11
P000237,3.86,7
P000238,3.29,7
P000239,4.0,8
P000240,4.29,7
P000241,3.25,8
P000242,3.78,9
P000243,4.29,7
P000244,4.36,11
P000245,3.83,6
P000246,3.14,7
P000247,3.67,9
P000248,3.71,7
P000249,3.88,8
P000250,3.25,4
P000251,3.64,11
P000252,3.6,5
P000253,3.86,7
P000254,3.44,9
P000255,3.25,8
P000256,4.4,5
P000257,3.62,8
P000258,3.0,8
P000259,3.67,3
P000260,4.0,5
P000261,4.25,12
P000262,2.86,7
P000263,3.33,9
P000264,2.75,4
P000265,3.25,12
P000266,3.38,8
P000267,2.33,6
P000268,3.5,6
P000269,2.5,4
P000270,3.89,9
P000271,2.5,6
P000272,3.5,6
P000273,3.86,7
P000274,3.5,6
P000275,5.0,3
P000276,3.43,7
P000277,4.0,8
P000278,3.71,7
P000279,3.0,7
P000280,3.75,4
P000281,3.67,6
P000282,2.83,6
P000283,3.25,8
P000284,3.67,6
P000285,3.38,8
P000286,4.11,9
P000287,3.42,12
P000288,3.83,12
P000289,3.4,10
P000290,3.33,6
P000291,3.0,8
