order_year,order_month,total_orders,total_customers,total_revenue,total_profit,total_quantity,avg_order_value,rolling_3m_revenue,rolling_3m_profit,rolling_3m_orders
2024,2024-01,881,844,543120.4292399886,162936.1289947987,2662,616.4817585016896,543120.4292399886,162936.1289947987,881.0
2024,2024-02,814,783,513712.7896525862,154113.83568112855,2534,631.0967931849954,1056833.2188925748,317049.96467592724,1695.0
2024,2024-03,950,920,541213.2595579627,162363.97739558225,2830,569.6981679557501,1598046.4784505374,479413.9420715095,2645.0
2024,2024-04,928,889,545624.4596889023,163687.33824679855,2867,587.9573919061447,1600550.5088994512,480165.15132350934,2692.0
2024,2024-05,907,856,552700.8198435308,165810.2451903582,2748,609.3724584823933,1639538.5390903957,491861.560832739,2785.0
2024,2024-06,897,861,548534.3204890492,164560.29649184947,2714,611.5209815931429,1646859.6000214822,494057.8799290062,2732.0
2024,2024-07,956,911,587135.7603828909,176140.72772850996,2927,614.158745170388,1688370.900715471,506511.26941071765,2760.0
2024,2024-08,882,841,519474.76984834694,155842.4311779738,2672,588.973661959577,1655144.850720287,496543.45539833326,2735.0
2024,2024-09,891,850,529067.1204389336,158720.13611015084,2661,593.7902586295551,1635677.6506701715,490703.2950166346,2729.0
2024,2024-10,900,867,529215.4796485903,158764.6437627316,2723,588.0171996095448,1577757.3699358709,473327.2110508563,2673.0
2024,2024-11,875,837,511353.4094640019,153406.02207700018,2609,584.4038965302879,1569636.0095515258,470890.8019498826,2666.0
2024,2024-12,888,842,566301.6711595062,169890.50137121681,2778,637.7271071616061,1606870.5602720985,482061.16721094865,2663.0
2025,2025-01,886,854,502918.44069814705,150875.53188650613,2706,567.6280369053578,1580573.5213216553,474172.0553347231,2649.0
2025,2025-02,825,787,460378.1803529264,138113.45389050248,2484,558.0341580035472,1529598.2922105796,458879.4871482254,2599.0
2025,2025-03,885,843,505664.6899051668,151699.40637674337,2764,571.3725309662901,1468961.3109562402,440688.3921537519,2596.0
2025,2025-04,863,821,531844.9500048163,159553.484949708,2670,616.2745654748741,1497887.8202629094,449366.34521695384,2573.0
2025,2025-05,903,869,538676.9492037299,161603.08421905045,2684,596.5414719864118,1576186.5891137128,472855.9755455018,2651.0
2025,2025-06,868,835,507913.9593235256,152374.18718672995,2617,585.1543310178866,1578435.8585320718,473530.75635548844,2634.0
2025,2025-07,898,864,550200.9812767508,165060.29450335508,2723,612.6959702413706,1596791.889804006,479037.5659091355,2669.0
2025,2025-08,925,874,511865.23990094685,153559.5717045069,2721,553.3678269199426,1569980.180501223,470994.0533945919,2691.0
2025,2025-09,897,864,522376.370233536,156712.91092336184,2751,582.3593871053913,1584442.5914112334,475332.7771312238,2720.0
2025,2025-10,892,856,521334.4603375199,156400.33787695176,2732,584.4556730241254,1555576.0704720025,466672.82050482056,2714.0
2025,2025-11,389,382,278040.4393749239,83412.13168363573,1241,714.7569135602156,1321751.2699459796,396525.3804839493,2178.0
