payment_id,order_id,payment_method,payment_status,payment_date,amount
1,O00000001,UPI,Success,2025-09-09 15:31:37.292731,689.66
2,O00000002,UPI,Success,2025-04-15 01:44:27.193404,1666.85
3,O00000003,Debit Card,Success,2025-04-27 15:57:48.008624,665.06
4,O00000004,UPI,Pending,2025-10-04 20:39:22.204857,689.5
5,O00000005,Credit Card,Success,2024-11-13 08:32:18.498252,860.5
6,O00000006,COD,Failed,2024-10-13 09:49:26.848944,2258.34
7,O00000007,Credit Card,Success,2024-05-01 05:04:56.418188,769.71
8,O00000008,Debit Card,Success,2024-03-03 23:58:22.844913,15.21
9,O00000009,Credit Card,Success,2025-10-29 07:34:11.203638,229.02
10,O00000010,Debit Card,Failed,2024-08-13 07:45:24.298799,107.63
11,O00000011,UPI,Success,2025-08-14 10:27:55.223975,1016.61
12,O00000012,COD,Success,2025-08-27 10:17:48.992495,600.23
13,O00000013,Debit Card,Success,2025-01-03 19:03:29.010457,15.87
14,O00000014,Credit Card,Success,2025-06-15 23:18:58.985044,520.96
15,O00000015,Debit Card,Success,2024-07-16 18:15:56.184332,1416.93
16,O00000016,UPI,Success,2025-10-01 07:56:15.796147,127.42
17,O00000017,UPI,Success,2024-08-05 21:27:39.309665,227.48
18,O00000018,COD,Success,2024-11-10 22:08:57.180283,601.16
19,O00000019,Credit Card,Success,2024-11-26 16:06:00.423573,135.38
20,O00000020,Debit Card,Success,2024-07-13 07:48:25.769991,398.84
21,O00000021,UPI,Success,2025-07-30 08:12:33.421591,209.51
22,O00000022,UPI,Success,2024-08-28 22:29:59.087219,1072.94
23,O00000023,Credit Card,Success,2024-05-19 11:56:48.773841,119.02
24,O00000024,COD,Pending,2025-06-20 17:34:48.147887,803.47
25,O00000025,UPI,Success,2024-01-23 02:13:10.375804,521.99
26,O00000026,Credit Card,Success,2025-06-24 23:58:30.673090,54.13
27,O00000027,COD,Success,2025-10-31 12:13:46.870987,495.94
28,O00000028,UPI,Success,2024-01-09 07:31:10.638443,334.14
29,O00000029,Credit Card,Success,2025-05-23 19:07:57.806458,950.63
30,O00000030,Debit Card,Success,2024-02-07 15:24:03.396213,265.14
31,O00000031,UPI,Pending,2024-11-19 07:39:43.816286,4942.06
32,O00000032,UPI,Success,2024-03-18 17:56:40.789857,194.49
33,O00000033,UPI,Success,2024-05-29 17:45:31.175330,2028.84
34,O00000034,UPI,Success,2025-10-23 15:34:53.536172,366.56
35,O00000035,UPI,Success,2024-02-19 10:43:26.319332,55.44
36,O00000036,UPI,Success,2024-05-14 22:09:14.167079,858.97
37,O00000037,COD,Success,2025-11-04 00:08:22.552762,19.77
38,O00000038,UPI,Success,2025-06-30 05:51:33.265938,1797.9
39,O00000039,UPI,Failed,2024-11-09 02:17:49.223031,2803.64
40,O00000040,COD,Success,2025-11-03 21:38:24.064700,82.61
41,O00000041,UPI,Success,2024-02-12 19:40:23.731212,67.1
42,O00000042,UPI,Success,2025-05-05 12:35:18.506335,274.27
43,O00000043,Credit Card,Success,2024-06-05 17:46:52.359642,351.45
44,O00000044,UPI,Success,2025-11-06 11:28:40.562956,158.28
45,O00000045,UPI,Success,2024-03-31 19:15:31.354492,124.94
46,O00000046,Debit Card,Success,2024-02-09 11:51:31.042546,489.21
47,O00000047,Credit Card,Success,2024-04-14 00:03:42.620823,852.12
48,O00000048,Credit Card,Pending,2024-10-29 06:35:16.627700,834.55
49,O00000049,Debit Card,Success,2024-06-06 07:22:36.744927,217.17
50,O00000050,Debit Card,Success,2024-09-21 01:31:15.550669,225.99
51,O00000051,UPI,Success,2025-03-24 09:34:52.188451,49.59
52,O00000052,UPI,Success,2024-09-14 00:06:40.280154,834.66
53,O00000053,Credit Card,Success,2024-06-18 14:21:39.579337,593.67
54,O00000054,COD,Success,2024-04-14 01:30:49.163833,133.02
55,O00000055,UPI,Pending,2024-10-07 18:15:47.586369,188.7
56,O00000056,UPI,Success,2024-01-13 10:04:18.977408,229.11
57,O00000057,UPI,Success,2024-04-08 23:16:04.246351,18.64
58,O00000058,Debit Card,Success,2024-09-16 16:44:35.475362,31.39
59,O00000059,Debit Card,Success,2024-03-27 22:30:32.179396,93.94
60,O00000060,Credit Card,Success,2025-05-18 13:12:50.081962,24.35
61,O00000061,Credit Card,Success,2025-08-30 23:48:52.555376,1058.07
