shipping_id,order_id,shipping_date,delivery_date,delivery_status,delivery_days
1,O00000001,2025-09-11 14:52:37.292731,2025-09-17 14:52:37.292731,Delivered,6
2,O00000002,2025-04-17 01:18:27.193404,2025-04-19 01:18:27.193404,Delivered,2
3,O00000003,2025-04-28 15:37:48.008624,2025-04-30 15:37:48.008624,Delivered,2
4,O00000004,2025-10-05 20:35:22.204857,2025-10-10 20:35:22.204857,Delivered,5
5,O00000005,2024-11-15 08:15:18.498252,2024-11-19 08:15:18.498252,Delivered,4
6,O00000006,2024-10-14 09:02:26.848944,2024-10-16 09:02:26.848944,Delivered,2
7,O00000007,2024-05-02 04:44:56.418188,2024-05-05 04:44:56.418188,Delivered,3
8,O00000008,2024-03-04 23:33:22.844913,2024-03-08 23:33:22.844913,Delivered,4
9,O00000009,2025-10-30 07:00:11.203638,2025-11-04 07:00:11.203638,Delivered,5
10,O00000010,2024-08-15 07:04:24.298799,2024-08-21 07:04:24.298799,Delivered,6
11,O00000011,2025-08-16 09:59:55.223975,2025-08-19 09:59:55.223975,Delivered,3
12,O00000012,2025-08-28 09:57:48.992495,2025-08-31 09:57:48.992495,Delivered,3
13,O00000013,2025-01-05 18:04:29.010457,2025-01-11 18:04:29.010457,Delivered,6
14,O00000014,2025-06-16 22:26:58.985044,2025-06-20 22:26:58.985044,Delivered,4
15,O00000015,2024-07-17 18:07:56.184332,2024-07-23 18:07:56.184332,Delivered,6
16,O00000016,2025-10-03 07:52:15.796147,2025-10-05 07:52:15.796147,Delayed,2
17,O00000017,2024-08-06 20:28:39.309665,2024-08-12 20:28:39.309665,Delivered,6
18,O00000018,2024-11-12 21:40:57.180283,2024-11-18 21:40:57.180283,Delivered,6
19,O00000019,2024-11-28 15:18:00.423573,2024-11-30 15:18:00.423573,Delivered,2
20,O00000020,2024-07-15 06:57:25.769991,2024-07-21 06:57:25.769991,Delivered,6
21,O00000021,2025-08-01 08:08:33.421591,2025-08-06 08:08:33.421591,Delivered,5
22,O00000022,2024-08-29 22:17:59.087219,2024-09-02 22:17:59.087219,Delivered,4
23,O00000023,2024-05-20 11:26:48.773841,2024-05-23 11:26:48.773841,Delivered,3
24,O00000024,2025-06-22 17:10:48.147887,2025-06-26 17:10:48.147887,Delivered,4
25,O00000025,2024-01-25 02:00:10.375804,2024-01-28 02:00:10.375804,Delivered,3
26,O00000026,2025-06-25 23:57:30.673090,2025-06-28 23:57:30.673090,Delivered,3
27,O00000027,2025-11-01 11:20:46.870987,2025-11-03 11:20:46.870987,Delivered,2
28,O00000028,2024-01-11 07:28:10.638443,2024-01-13 07:28:10.638443,Delivered,2
29,O00000029,2025-05-24 18:15:57.806458,2025-05-30 18:15:57.806458,Delivered,6
30,O00000030,2024-02-08 15:08:03.396213,2024-02-12 15:08:03.396213,Delivered,4
31,O00000031,2024-11-21 07:31:43.816286,2024-11-26 07:31:43.816286,Delivered,5
32,O00000032,2024-03-20 17:21:40.789857,2024-03-25 17:21:40.789857,Delivered,5
33,O00000033,2024-05-31 17:27:31.175330,2024-06-05 17:27:31.175330,Delivered,5
34,O00000034,2025-10-24 14:39:53.536172,2025-10-26 14:39:53.536172,Delivered,2
35,O00000035,2024-02-20 10:35:26.319332,2024-02-25 10:35:26.319332,Delayed,5
36,O00000036,2024-05-15 21:27:14.167079,2024-05-18 21:27:14.167079,Delivered,3
37,O00000037,2025-11-05 23:18:22.552762,2025-11-11 23:18:22.552762,Delivered,6
38,O00000038,2025-07-01 05:15:33.265938,2025-07-03 05:15:33.265938,Delivered,2
39,O00000039,2024-11-11 01:20:49.223031,2024-11-17 01:20:49.223031,Delivered,6
40,O00000040,2025-11-05 21:23:24.064700,2025-11-10 21:23:24.064700,Delivered,5
41,O00000041,2024-02-14 19:23:23.731212,2024-02-19 19:23:23.731212,Delivered,5
42,O00000042,2025-05-07 12:29:18.506335,2025-05-09 12:29:18.506335,Delivered,2
43,O00000043,2024-06-07 17:15:52.359642,2024-06-09 17:15:52.359642,Delivered,2
44,O00000044,2025-11-08 10:56:40.562956,2025-11-11 10:56:40.562956,Delivered,3
45,O00000045,2024-04-02 19:14:31.354492,2024-04-05 19:14:31.354492,Delivered,3
46,O00000046,2024-02-11 11:42:31.042546,2024-02-15 11:42:31.042546,Delivered,4
47,O00000047,2024-04-15 23:26:42.620823,2024-04-18 23:26:42.620823,Delivered,3
48,O00000048,2024-10-30 06:00:16.627700,2024-11-03 06:00:16.627700,Delivered,4
49,O00000049,2024-06-08 06:24:36.744927,2024-06-11 06:24:36.744927,Delayed,3
50,O00000050,2024-09-22 00:41:15.550669,2024-09-27 00:41:15.550669,Delivered,5
51,O00000051,2025-03-25 09:25:52.188451,2025-03-27 09:25:52.188451,Delivered,2
52,O00000052,2024-09-14 23:23:40.280154,2024-09-20 23:23:40.280154,Delivered,6
53,O00000053,2024-06-20 14:09:39.579337,2024-06-25 14:09:39.579337,Delivered,5
54,O00000054,2024-04-15 00:52:49.163833,2024-04-17 00:52:49.163833,Delivered,2
55,O00000055,2024-10-08 17:26:47.586369,2024-10-12 17:26:47.586369,Delivered,4
56,O00000056,2024-01-14 09:15:18.977408,2024-01-20 09:15:18.977408,Delivered,6
57,O00000057,2024-04-10 22:25:04.246351,2024-04-14 22:25:04.246351,Delivered,4
58,O00000058,2024-09-18 16:27:35.475362,2024-09-20 16:27:35.475362,Delivered,2
59,O00000059,2024-03-29 22:03:32.179396,2024-04-02 22:03:32.179396,Delivered,4
60,O00000060,2025-05-19 12:26:50.081962,2025-05-23 12:26:50.081962,Delayed,4
61,O00000061,2025-08-31 23:24:52.555376,2025-09-03 23:24:52.555376,Delivered,3
62,O00000062,2024-09-29 22:07:38.713420,2024-10-03 22:07:38.713420,Delivered,4
63,O00000063,2024-02-26 19:27:27.788267,2024-03-02 19:27:27.788267,Delivered,5
